% Model,Concave Reflector-Parametric Sweep.mph
% Version,COMSOL 5.1.0.145
% Date,"Jun 22 2015, 11:47"
% Table,Table 2 - Surface Maximum 1 (actd.p_t)
% Rbar,Dbar,t (µs),Total acoustic pressure field (Pa)
0.1,0.5,2450,32738.032556472263
0.1,0.5,2451.9999999999995,42071.35175153843
0.1,0.5,2454,49104.30617811957
0.1,0.5,2456,54283.40422495508
0.1,0.5,2457.9999999999995,54907.76084042785
0.1,0.5,2460,53007.73284977975
0.1,0.5,2462,45744.12538047529
0.1,0.5,2464,37413.7068612556
0.1,0.5,2466,28512.465635726967
0.1,0.5,2467.9999999999995,20365.439503680387
0.1,0.5,2470,16360.031270465333
0.1,0.5,2472,28793.465309197258
0.1,0.5,2474,39506.25757929006
0.1,0.5,2476,47469.025320744055
0.1,0.5,2477.9999999999995,52194.28933574893
0.1,0.5,2480,54347.09476949625
0.1,0.5,2482,54426.88253548595
0.1,0.5,2484,50642.345116016826
0.1,0.5,2486,43197.44602853715
0.1,0.5,2487.9999999999995,32058.571976816354
0.1,0.5,2490,21775.049684066762
0.1,0.5,2492,17472.481082196427
0.1,0.5,2493.9999999999995,23772.81050056267
0.1,0.5,2496,35476.22621137558
0.1,0.5,2498,44732.96282738207
0.1,0.5,2500,52830.92885061081
0.1,0.7,2450,66143.5115099738
0.1,0.7,2451.9999999999995,74217.00996219825
0.1,0.7,2454,77050.10185403452
0.1,0.7,2456,73804.00078268144
0.1,0.7,2457.9999999999995,64772.57871457439
0.1,0.7,2460,53079.206535261175
0.1,0.7,2462,39932.39920301826
0.1,0.7,2464,24252.38267472114
0.1,0.7,2466,17535.902634554874
0.1,0.7,2467.9999999999995,35939.74759345453
0.1,0.7,2470,53787.80278144022
0.1,0.7,2472,67282.33351715551
0.1,0.7,2474,76508.55103431395
0.1,0.7,2476,79561.76747281672
0.1,0.7,2477.9999999999995,77621.70286227184
0.1,0.7,2480,70126.87618427964
0.1,0.7,2482,59065.65988036656
0.1,0.7,2484,45851.278760577494
0.1,0.7,2486,29934.167486551694
0.1,0.7,2487.9999999999995,18813.104483687457
0.1,0.7,2490,26297.625944646832
0.1,0.7,2492,45042.55033966391
0.1,0.7,2493.9999999999995,61017.42366049514
0.1,0.7,2496,72534.68558117759
0.1,0.7,2498,78464.10658259506
0.1,0.7,2500,78583.80154823954
0.1,0.9,2450,67792.27051385435
0.1,0.9,2451.9999999999995,77355.21075356123
0.1,0.9,2454,81238.97589929543
0.1,0.9,2456,79102.1791232154
0.1,0.9,2457.9999999999995,71051.80154049235
0.1,0.9,2460,57643.228581509655
0.1,0.9,2462,39897.490123849115
0.1,0.9,2464,21089.670878341727
0.1,0.9,2466,12133.807604127142
0.1,0.9,2467.9999999999995,31847.62188624334
0.1,0.9,2470,51338.607529735134
0.1,0.9,2472,67249.9242337085
0.1,0.9,2474,78107.56608251082
0.1,0.9,2476,83090.38184662894
0.1,0.9,2477.9999999999995,82961.97542602137
0.1,0.9,2480,76687.47472216362
0.1,0.9,2482,64639.11175676663
0.1,0.9,2484,47752.83039057055
0.1,0.9,2486,27513.853616914974
0.1,0.9,2487.9999999999995,12650.525137111314
0.1,0.9,2490,23274.557357098056
0.1,0.9,2492,44623.75471417942
0.1,0.9,2493.9999999999995,62715.84236217839
0.1,0.9,2496,76074.79920488545
0.1,0.9,2498,83624.11138295739
0.1,0.9,2500,84810.35170003376
0.1,1.1,2450,68346.83751438797
0.1,1.1,2451.9999999999995,79239.35155219566
0.1,1.1,2454,84311.05389234031
0.1,1.1,2456,83420.10442146477
0.1,1.1,2457.9999999999995,76110.32189322155
0.1,1.1,2460,66061.74975168997
0.1,1.1,2462,50558.83336222136
0.1,1.1,2464,30927.991804235502
0.1,1.1,2466,10664.059277688068
0.1,1.1,2467.9999999999995,25180.671808156254
0.1,1.1,2470,46658.53639342219
0.1,1.1,2472,65378.469453078826
0.1,1.1,2474,79314.28424827047
0.1,1.1,2476,87428.48947404818
0.1,1.1,2477.9999999999995,89020.25511705663
0.1,1.1,2480,82027.01272652794
0.1,1.1,2482,73459.85703214818
0.1,1.1,2484,57833.40887110982
0.1,1.1,2486,37815.22926420864
0.1,1.1,2487.9999999999995,16206.019071535615
0.1,1.1,2490,17823.58284871084
0.1,1.1,2492,39077.60762640583
0.1,1.1,2493.9999999999995,58119.34238925571
0.1,1.1,2496,73166.9562515885
0.1,1.1,2498,82917.71536622313
0.1,1.1,2500,86630.64446919486
0.1,1.3,2450,65868.47601227798
0.1,1.3,2451.9999999999995,70716.88647524934
0.1,1.3,2454,70357.82674938199
0.1,1.3,2456,65650.61385034856
0.1,1.3,2457.9999999999995,57150.10055601023
0.1,1.3,2460,44411.56655071012
0.1,1.3,2462,29515.29910086445
0.1,1.3,2464,14967.60677808067
0.1,1.3,2466,17518.24049864614
0.1,1.3,2467.9999999999995,35448.4485180237
0.1,1.3,2470,51337.81158647483
0.1,1.3,2472,63865.52465527145
0.1,1.3,2474,71808.34018741202
0.1,1.3,2476,74541.36068308413
0.1,1.3,2477.9999999999995,71860.628255542
0.1,1.3,2480,63960.111133104205
0.1,1.3,2482,53051.26225138917
0.1,1.3,2484,38500.22846012783
0.1,1.3,2486,21231.072508266407
0.1,1.3,2487.9999999999995,13896.247538590202
0.1,1.3,2490,30216.152635876446
0.1,1.3,2492,45896.19903361798
0.1,1.3,2493.9999999999995,58197.529772754046
0.1,1.3,2496,66610.44513590417
0.1,1.3,2498,70392.82624301106
0.1,1.3,2500,70896.67440711905
0.1,1.5,2450,35746.11461995284
0.1,1.5,2451.9999999999995,51067.74005713038
0.1,1.5,2454,62703.06227471379
0.1,1.5,2456,69051.97055426362
0.1,1.5,2457.9999999999995,72536.47671191508
0.1,1.5,2460,71693.89353859525
0.1,1.5,2462,65687.56499561219
0.1,1.5,2464,54655.032591935815
0.1,1.5,2466,39129.89490195763
0.1,1.5,2467.9999999999995,26459.388932697268
0.1,1.5,2470,18807.223823931763
0.1,1.5,2472,31292.661624199867
0.1,1.5,2474,47795.104271395096
0.1,1.5,2476,60675.391925885364
0.1,1.5,2477.9999999999995,68634.33460917679
0.1,1.5,2480,73692.57245301451
0.1,1.5,2482,74380.0448413942
0.1,1.5,2484,69665.55136638561
0.1,1.5,2486,59894.84884490951
0.1,1.5,2487.9999999999995,45773.058543398896
0.1,1.5,2490,33050.105044679505
0.1,1.5,2492,23344.663802703064
0.1,1.5,2493.9999999999995,25070.25010612409
0.1,1.5,2496,42596.561383101456
0.1,1.5,2498,56978.99501975325
0.1,1.5,2500,66398.08683184712
0.28,0.5,2450,21306.436198147658
0.28,0.5,2451.9999999999995,21758.391647652184
0.28,0.5,2454,20790.482966125637
0.28,0.5,2456,18467.640239115757
0.28,0.5,2457.9999999999995,14844.696580219088
0.28,0.5,2460,13354.362366808336
0.28,0.5,2462,13534.250924018295
0.28,0.5,2464,15734.168907328192
0.28,0.5,2466,17361.948859865686
0.28,0.5,2467.9999999999995,19918.34405188089
0.28,0.5,2470,21780.208751135033
0.28,0.5,2472,22283.84849136862
0.28,0.5,2474,21419.74398086409
0.28,0.5,2476,19074.84320567199
0.28,0.5,2477.9999999999995,15656.566243920657
0.28,0.5,2480,13862.72617197251
0.28,0.5,2482,12852.049075690327
0.28,0.5,2484,12736.67986350759
0.28,0.5,2486,14520.235781347512
0.28,0.5,2487.9999999999995,16716.284955100495
0.28,0.5,2490,18688.014546457387
0.28,0.5,2492,19899.021722035926
0.28,0.5,2493.9999999999995,19805.92831474137
0.28,0.5,2496,21096.424296599333
0.28,0.5,2498,21221.178519823527
0.28,0.5,2500,19885.614797621238
0.28,0.7,2450,41969.728323216616
0.28,0.7,2451.9999999999995,40591.2246719157
0.28,0.7,2454,36648.97367259444
0.28,0.7,2456,30163.848361462544
0.28,0.7,2457.9999999999995,22138.32816900265
0.28,0.7,2460,18646.7615937789
0.28,0.7,2462,19032.510795510116
0.28,0.7,2464,27140.020072174786
