% Model,2D Cylinder.mph
% Version,COMSOL 5.1.0.145
% Date,"Jun 11 2015, 16:29"
% Table,Table 1 - Point Evaluation 1 (actd.p_t)
% Time (µs),"Total acoustic pressure field (Pa), Point: (0.035, 0.07)"
0,0
2,-3.8502492335429214E-84
4,-2.955312109448377E-81
6,2.860342201967228E-78
8,-2.3356779042258586E-76
10,-2.0467980848734276E-75
12,8.112929352181727E-74
14,4.7664817118856674E-73
16,-2.856380095587816E-71
18,-5.315857422890034E-71
20,-1.1316318635386606E-70
22,-4.777923276455087E-70
24,-3.523792945343728E-70
26,-2.715601634696597E-69
28,-2.147497927258652E-69
29.999999999999996,-1.0215277211259998E-68
32,-2.154270768703766E-68
34,-3.6418792345921427E-68
36,-2.163851177104225E-67
37.99999999999999,-1.5207657929602284E-67
40,9.833481524054083E-68
42,-2.0118403854481127E-67
44,5.087586857187146E-67
46,-6.852753322537942E-67
48,3.6777628213619484E-67
49.99999999999999,2.2908282216402027E-67
52,6.750001881713169E-66
54,3.3010115733356523E-64
56,6.14067732294889E-62
58,3.307909563389935E-60
59.99999999999999,1.2056139095490069E-58
62,3.6004275340856557E-57
64,1.3064420374455532E-55
65.99999999999999,9.089544075303925E-54
68,2.71175457304814E-52
70,6.265365922789774E-51
72,1.2495339381844393E-49
74,4.513036248513168E-48
75.99999999999999,1.367910091595915E-46
78,2.7048430148407106E-45
80,4.453645263199169E-44
82,6.534671124991699E-43
84,1.9656323245325771E-41
85.99999999999999,3.7012559288987776E-40
88,5.331985228316896E-39
89.99999999999999,6.68446365604635E-38
92,8.429321924047924E-37
94,1.8506460029793967E-35
96,2.478157710942784E-34
98,2.753371531632306E-33
99.99999999999999,2.7404802319096026E-32
102,3.60473344930926E-31
104,4.909820021633298E-30
106,5.0174594313778005E-29
108,4.461997438917047E-28
109.99999999999999,3.626906431887286E-27
112,4.3803699665123605E-26
113.99999999999999,4.317229918590403E-25
116,3.5127952671684976E-24
118,2.5644566184497984E-23
119.99999999999999,1.7807516974222374E-22
122,1.8317470920532596E-21
124,1.4010159781277173E-20
126,9.328607994920442E-20
128,5.68993203859337E-19
130,3.926052946201076E-18
131.99999999999997,2.9262284606751293E-17
134,1.8052477500232746E-16
136,1.0017575511616791E-15
138,5.167673920410578E-15
140,3.2745514718049664E-14
141.99999999999997,1.9043463400279314E-13
144,9.698278842231096E-13
146,4.539417890259047E-12
148,1.9964644505692095E-11
150,1.1147199317737661E-10
151.99999999999997,5.249058141645956E-10
154,2.237978735055869E-9
156,8.90075849282577E-9
158,3.671390175439355E-8
160,1.6065859310274575E-7
161.99999999999997,6.248448742604585E-7
164,2.247645529068863E-6
166,7.620953170027693E-6
168,2.8035911261073583E-5
169.99999999999997,9.921704555739673E-5
171.99999999999997,3.218450618995933E-4
174,9.792350084289123E-4
176,0.002828923624242179
178,0.008961000648348481
179.99999999999997,0.02601838424508823
181.99999999999997,0.07055309329687054
184,0.1811082681794389
186,0.4584175986881846
188,1.175146104118802
189.99999999999997,2.8067354473942108
192,6.3318065999670345
194,13.597263575179229
196,29.10447302549015
198,60.135990425786005
199.99999999999997,117.25325257899857
202,217.21654803944855
204,383.8862149751976
206,667.6800080918805
208,1099.7153190099991
209.99999999999997,1718.3038750073274
212,2554.2088572994694
214,3625.0419763100954
216,4912.539820477756
218,6310.632482948435
219.99999999999997,7698.66368303391
222,8931.160480311675
224,9828.504025606542
226,10273.81435156466
227.99999999999997,10249.502534051126
229.99999999999997,9771.431206139163
232,8889.305411874746
234,7619.024147487888
236,6049.051017022518
237.99999999999997,4228.015624698307
239.99999999999997,2227.954685535061
242,174.78267835711537
244,-1724.915862635105
245.99999999999997,-3296.304105692949
248,-4407.132047448687
250,-4974.149945916087
252,-4895.160046633341
254,-4126.30434727169
256,-2687.469913170543
258,-602.8628121175999
260,2035.6853720426552
262,5103.353370208988
263.99999999999994,8342.680724092208
266,11531.256176806857
268,14424.093690068334
270,16727.461346337157
272,18072.254508227463
274,18394.13075458781
276,17663.502892283435
278,15938.245652488762
280,13276.35469882171
281.99999999999994,9866.953309359611
283.99999999999994,5988.258809959504
286,1881.7619314767667
288,-2203.6421948470256
290,-5945.906332410927
292,-9058.05986098823
294,-11287.042907150999
296,-12448.324707089287
298,-12455.369159669171
300,-11244.523031521392
301.99999999999994,-9077.589975015739
303.99999999999994,-6100.914684512877
306,-2501.3116690667416
308,1497.3095319550516
310,5569.766664390239
312,9384.278323903973
314,12647.382020684121
316,15122.932153332677
318,16536.512751244878
320,16869.268795418397
321.99999999999994,16116.829948609937
323.99999999999994,14309.141819210992
326,11560.999525956366
328,8027.157704817106
