Test Profile,Step Input,
Time [s],DELTA Applied Torque [Nm],Shaft Velocity [Rad/s]
0.001,0.147,3.657
0.269,0.147,4.122
0.537,0.147,5.314
0.805,0.147,6.076
1.073,0.147,6.896
1.343,0.147,7.368
1.61,0.147,8.109
1.879,0.147,8.557
2.148,0.147,8.933
2.416,0.147,9.377
2.685,0.147,9.596
2.954,0.147,9.966
3.222,0.147,10.237
3.49,0.147,10.511
3.758,0.147,10.745
4.027,0.147,10.862
4.295,0.147,11.058
4.563,0.147,11.018
4.832,0.147,11.446
5.1,0.147,11.507
5.368,0.147,11.761
5.636,0.147,11.78
5.911,0.147,11.822
6.179,0.147,11.878
6.459,0.147,11.819
6.727,0.147,12.054
6.995,0.147,12.132
7.265,0.147,12.042
7.533,0.147,12.21
7.801,0.147,12.193
8.07,0.147,12.163
8.339,0.147,12.185
8.607,0.147,12.269
8.876,0.147,12.283
9.145,0.147,12.235
9.414,0.147,12.386
9.682,0.147,12.347
9.952,0.147,12.355
10.22,0.147,12.386
10.499,0.147,12.536
10.769,0.147,12.332
11.037,0.147,12.601
11.305,0.147,12.503
11.575,0.147,12.488
11.843,0.147,12.581
12.112,0.147,12.536
12.387,0.147,12.53
12.655,0.147,12.581
12.923,0.147,12.581
13.192,0.147,12.591
13.461,0.147,12.614
13.729,0.147,12.575
13.998,0.147,12.738
14.267,0.147,12.458
14.535,0.147,12.738
14.804,0.147,12.611
15.073,0.147,12.633
15.342,0.147,12.633
15.61,0.147,12.581
15.878,0.147,12.679
16.147,0.147,12.633
16.416,0.147,12.65
16.684,0.147,12.662
16.953,0.147,12.727
17.221,0.147,12.679
17.5,0.147,12.686
17.769,0.147,12.672
18.037,0.147,12.757
18.306,0.147,12.594
18.581,0.147,12.679
18.849,0.147,12.738
19.117,0.147,12.757
19.387,0.147,12.646
19.655,0.147,12.757
19.923,0.147,12.855
20.192,0.147,12.669
20.461,0.147,12.711
20.74,0.147,12.724
21.009,0.147,12.711
21.277,0.147,12.708
21.546,0.147,12.741
21.815,0.147,12.727
22.084,0.147,12.711
22.352,0.147,12.816
22.62,0.147,12.614
22.89,0.147,12.805
23.158,0.147,12.738
23.426,0.147,12.897
23.695,0.147,12.747
23.964,0.147,12.789
24.232,0.147,12.835
24.502,0.147,12.759
24.776,0.147,12.861
25.044,0.147,12.855
25.313,0.147,12.886
25.581,0.147,12.874
25.849,0.147,13.031
26.118,0.147,12.906
26.387,0.147,12.867
26.656,0.147,12.942
26.924,0.147,12.953
27.194,0.147,12.917
27.462,0.147,12.933
27.73,0.147,13.07
28,0.147,12.856
28.268,0.147,13.031
28.536,0.147,12.992
28.816,0.147,12.923
29.084,0.147,13.05
29.353,0.147,12.964
29.622,0.147,13.019
29.89,0.147,12.992
30.159,0.147,13.061
